"","block","plot","transect","subtransect","subsubtransect","time","date","slope_percent","litter_cm","duff_cm","fuel_cm","x1h_count","x10h_count","x100h_count","sum_d2_1000r_cm2","sum_d2_1000s_cm2","litter_mgha","duff_mgha","x1h_mgha","x10h_mgha","x100h_mgha","x1000h_mgha","fines_mgha","total_mgha","treatment","planting","followup"
"34","E1","E1:CG","E1:CG:N","E1:CG:N:3","E1:CG:N:3:23","pre",2017-06-27,24,2.5,0,6.5,0,0,3,1053,4449,9.075,0,0,0,7.47101832901717,106.57886517946,16.5460183290172,123.124883508477,"CG","C","G"
"35","E1","E1:CG","E1:CG:N","E1:CG:N:3","E1:CG:N:3:3","post",2019-07-30,24,0,0,0,2,3,1,0,1210,0,0,0.0606500392177906,0.944410654200829,2.49033944300572,24.5379358115868,3.49540013642434,28.0333359480111,"CG","C","G"
"36","E1","E1:CG","E1:CG:N","E1:CG:N:3","E1:CG:N:3:3","pre",2017-06-27,24,0.75,0,9,0,1,4,1053,4449,2.7225,0,0,0.314803551400276,9.96135777202289,106.57886517946,12.9986613234232,119.577526502883,"CG","C","G"
"37","E1","E1:CG","E1:CG:S","E1:CG:S:1","E1:CG:S:1:13","post",2019-07-30,28,0,0,0,15,5,0,0,0,0,0,0.459326569783245,1.58942063116157,0,0,2.04874720094482,2.04874720094482,"CG","C","G"
"38","E1","E1:CG","E1:CG:S","E1:CG:S:1","E1:CG:S:1:13","pre",2017-06-27,28,3.5,0,20,0,2,4,0,4727,12.705,0,0,0.635768252464629,10.0588366851702,96.7982434771205,23.3996049376349,120.197848414755,"CG","C","G"
"39","E1","E1:CG","E1:CG:S","E1:CG:S:1","E1:CG:S:1:23","post",2019-07-30,28,0,1,1,6,6,0,0,0,0,17.5,0.183730627913298,1.90730475739389,0,0,2.09103538530719,19.5910353853072,"CG","C","G"
"40","E1","E1:CG","E1:CG:S","E1:CG:S:1","E1:CG:S:1:23","pre",2017-06-27,28,3.25,0.5,3.5,4,3,1,0,4727,11.7975,8.75,0.122487085275532,0.953652378696944,2.51470917129256,96.7982434771205,15.388348635265,120.936592112385,"CG","C","G"
"41","E1","E1:CG","E1:CG:S","E1:CG:S:1","E1:CG:S:1:3","post",2019-07-30,28,0,0,7.5,19,5,0,0,0,0,0,0.581813655058777,1.58942063116157,0,0,2.17123428622035,2.17123428622035,"CG","C","G"
"42","E1","E1:CG","E1:CG:S","E1:CG:S:1","E1:CG:S:1:3","pre",2017-06-27,28,3,0.5,3,1,1,0,0,4727,10.89,8.75,0.030621771318883,0.317884126232315,0,96.7982434771205,11.2385058975512,116.786749374672,"CG","C","G"
"43","E1","E1:CG","E1:CG:S","E1:CG:S:2","E1:CG:S:2:13","post",2019-07-30,15,0,0,0,8,5,0,100,356,0,0,0.238540439246464,1.54767784151204,0,8.62592814518171,1.78621828075851,10.4121464259402,"CG","C","G"
"44","E1","E1:CG","E1:CG:S","E1:CG:S:2","E1:CG:S:2:13","pre",2017-06-27,15,2.5,0.5,4.5,1,6,5,0,4202,9.075,8.75,0.029817554905808,1.85721340981445,12.2433281220601,83.787578846376,23.2053590867804,115.742937933156,"CG","C","G"
"45","E1","E1:CG","E1:CG:S","E1:CG:S:2","E1:CG:S:2:23","post",2019-07-30,15,0,0.5,0.5,19,0,0,100,356,0,8.75,0.566533543210352,0,0,8.62592814518171,0.566533543210352,17.9424616883921,"CG","C","G"
"46","E1","E1:CG","E1:CG:S","E1:CG:S:2","E1:CG:S:2:23","pre",2017-06-27,15,4.5,1,5.5,0,0,1,0,4202,16.335,17.5,0,0,2.44866562441202,83.787578846376,18.783665624412,120.071244470788,"CG","C","G"
"47","E1","E1:CG","E1:CG:S","E1:CG:S:2","E1:CG:S:2:3","post",2019-07-30,15,0,0,0,6,2,1,100,356,0,0,0.178905329434848,0.619071136604818,2.44866562441202,8.62592814518171,3.24664209045169,11.8725702356334,"CG","C","G"
"48","E1","E1:CG","E1:CG:S","E1:CG:S:2","E1:CG:S:2:3","pre",2017-06-27,15,3,0,3,0,2,1,0,4202,10.89,0,0,0.619071136604818,2.44866562441202,83.787578846376,13.9577367610168,97.7453156073928,"CG","C","G"
"49","E1","E1:CG","E1:CG:S","E1:CG:S:3","E1:CG:S:3:13","post",2019-07-30,16,0,0,0,5,3,0,0,405,0,0,0.149313604518998,0.930013307450635,0,8.08790355780466,1.07932691196963,9.16723046977429,"CG","C","G"
"50","E1","E1:CG","E1:CG:S","E1:CG:S:3","E1:CG:S:3:13","pre",2017-06-27,16,2,0.5,2,0,4,0,484,2407,7.26,8.75,0,1.24001774326751,0,55.4715037132688,8.50001774326751,72.7215214565363,"CG","C","G"
"51","E1","E1:CG","E1:CG:S","E1:CG:S:3","E1:CG:S:3:23","post",2019-07-30,16,0,0,0,13,0,3,0,405,0,0,0.388215371749394,0,7.35712418669521,8.08790355780466,7.74533955844461,15.8332431162493,"CG","C","G"
"52","E1","E1:CG","E1:CG:S","E1:CG:S:3","E1:CG:S:3:23","pre",2017-06-27,16,1.5,0.25,1.5,0,1,0,484,2407,5.445,4.375,0,0.310004435816878,0,55.4715037132688,5.75500443581688,65.6015081490857,"CG","C","G"
"53","E1","E1:CG","E1:CG:S","E1:CG:S:3","E1:CG:S:3:3","post",2019-07-30,16,0.5,0,0.5,7,2,0,0,405,1.815,0,0.209039046326597,0.620008871633757,0,8.08790355780466,2.64404791796035,10.731951475765,"CG","C","G"
"54","E1","E1:CG","E1:CG:S","E1:CG:S:3","E1:CG:S:3:3","pre",2017-06-27,16,2.5,0,2.5,0,2,2,484,2407,9.075,0,0,0.620008871633757,4.90474945779681,55.4715037132688,14.5997583294306,70.0712620426994,"CG","C","G"
"55","E1","E1:CH","E1:CH:M","E1:CH:M:1","E1:CH:M:1:13","post",2019-07-29,18,0.5,0,7,20,1,6,0,777,1.815,0,0.599231124562077,0.311030443763322,14.7629474693155,15.568147993137,17.4882090376409,33.0563570307779,"CH","C","H"
"56","E1","E1:CH","E1:CH:M","E1:CH:M:1","E1:CH:M:1:13","pre",2017-06-29,18,1,0.25,8.5,0,2,6,0,3128,3.63,4.375,0,0.622060887526644,14.7629474693155,62.6733165026159,19.0150083568422,86.0633248594581,"CH","C","H"
"57","E1","E1:CH","E1:CH:M","E1:CH:M:1","E1:CH:M:1:23","post",2019-07-29,18,0.5,0,7.5,11,3,0,0,777,1.815,0,0.329577118509142,0.933091331289967,0,15.568147993137,3.07766844979911,18.6458164429361,"CH","C","H"
"58","E1","E1:CH","E1:CH:M","E1:CH:M:1","E1:CH:M:1:23","pre",2017-06-29,18,1.25,0.25,7,2,3,2,0,3128,4.5375,4.375,0.0599231124562077,0.933091331289967,4.92098248977184,62.6733165026159,10.451496933518,77.4998134361339,"CH","C","H"
"59","E1","E1:CH","E1:CH:M","E1:CH:M:1","E1:CH:M:1:3","post",2019-07-29,18,0,0,0,15,3,1,0,777,0,0,0.449423343421557,0.933091331289967,2.46049124488592,15.568147993137,3.84300591959744,19.4111539127345,"CH","C","H"
