"block","plot","transect","subtransect","location_m","date","litter_cm","duff_cm","fuel_cm"
"E1","E1:CH","E1:CH:N","E1:CH:N:3",3,"2017-06-29",0,0,0
"E1","E1:CH","E1:CH:N","E1:CH:N:3",7,"2017-06-29",8,0,8
"E1","E1:CH","E1:CH:N","E1:CH:N:3",13,"2017-06-29",0,0,0
"E1","E1:CH","E1:CH:N","E1:CH:N:3",17,"2017-06-29",2.5,0,2.5
"E1","E1:CH","E1:CH:N","E1:CH:N:3",23,"2017-06-29",1,0,1
"E1","E1:CH","E1:CH:N","E1:CH:N:3",27,"2017-06-29",1.5,0,1.5
"E1","E1:CH","E1:CH:S","E1:CH:S:1",3,"2017-06-29",2,0,5
"E1","E1:CH","E1:CH:S","E1:CH:S:1",7,"2017-06-29",2,0,3
"E1","E1:CH","E1:CH:S","E1:CH:S:1",13,"2017-06-29",1,0,1
"E1","E1:CH","E1:CH:S","E1:CH:S:1",17,"2017-06-29",0.5,0,0.5
"E1","E1:CH","E1:CH:S","E1:CH:S:1",23,"2017-06-29",2.5,0,2.5
"E1","E1:CH","E1:CH:S","E1:CH:S:1",27,"2017-06-29",0.5,0,0.5
"E1","E1:CH","E1:CH:S","E1:CH:S:2",3,"2017-06-29",1,0,1
"E1","E1:CH","E1:CH:S","E1:CH:S:2",7,"2017-06-29",1,0,1
"E1","E1:CH","E1:CH:S","E1:CH:S:2",13,"2017-06-29",2,0.5,4
"E1","E1:CH","E1:CH:S","E1:CH:S:2",17,"2017-06-29",1,0,1
"E1","E1:CH","E1:CH:S","E1:CH:S:2",23,"2017-06-29",1,0,2
"E1","E1:CH","E1:CH:S","E1:CH:S:2",27,"2017-06-29",1,0,2
"E1","E1:CH","E1:CH:S","E1:CH:S:3",3,"2017-06-29",2,0,2
"E1","E1:CH","E1:CH:S","E1:CH:S:3",7,"2017-06-29",0.5,0,0.5
"E1","E1:CH","E1:CH:S","E1:CH:S:3",13,"2017-06-29",2,1,2
"E1","E1:CH","E1:CH:S","E1:CH:S:3",17,"2017-06-29",0.5,0,0.5
"E1","E1:CH","E1:CH:S","E1:CH:S:3",23,"2017-06-29",0.5,0,0.5
"E1","E1:CH","E1:CH:S","E1:CH:S:3",27,"2017-06-29",1,0,1
"E1","E1:CN","E1:CN:M","E1:CN:M:1",3,"2017-06-28",1,0,1
"E1","E1:CN","E1:CN:M","E1:CN:M:1",7,"2017-06-28",1,0,1
"E1","E1:CN","E1:CN:M","E1:CN:M:1",13,"2017-06-28",0,0,0
"E1","E1:CN","E1:CN:M","E1:CN:M:1",17,"2017-06-28",2,1,2
"E1","E1:CN","E1:CN:M","E1:CN:M:1",23,"2017-06-28",3,1,3
"E1","E1:CN","E1:CN:M","E1:CN:M:1",27,"2017-06-28",2,0,2
"E1","E1:CN","E1:CN:M","E1:CN:M:2",3,"2017-06-28",1.5,0.5,9
"E1","E1:CN","E1:CN:M","E1:CN:M:2",7,"2017-06-28",1,0.5,6
"E1","E1:CN","E1:CN:M","E1:CN:M:2",13,"2017-06-28",0.5,0,5
"E1","E1:CN","E1:CN:M","E1:CN:M:2",17,"2017-06-28",0,0,5
"E1","E1:CN","E1:CN:M","E1:CN:M:2",23,"2017-06-28",1,0.5,10
"E1","E1:CN","E1:CN:M","E1:CN:M:2",27,"2017-06-28",0.5,0,6
"E1","E1:CN","E1:CN:M","E1:CN:M:3",3,"2017-06-28",1,3,3
"E1","E1:CN","E1:CN:M","E1:CN:M:3",7,"2017-06-28",1,2,1
"E1","E1:CN","E1:CN:M","E1:CN:M:3",13,"2017-06-28",0.5,0.5,0.5
"E1","E1:CN","E1:CN:M","E1:CN:M:3",17,"2017-06-28",2,0,2
"E1","E1:CN","E1:CN:M","E1:CN:M:3",23,"2017-06-28",1,0,1
"E1","E1:CN","E1:CN:M","E1:CN:M:3",27,"2017-06-28",0.5,0,0.5
"E1","E1:CN","E1:CN:N","E1:CN:N:1",3,"2017-06-28",2,3,2
"E1","E1:CN","E1:CN:N","E1:CN:N:1",7,"2017-06-28",2,5,2
"E1","E1:CN","E1:CN:N","E1:CN:N:1",13,"2017-06-28",6,0,6
"E1","E1:CN","E1:CN:N","E1:CN:N:1",17,"2017-06-28",0.5,1,0.5
"E1","E1:CN","E1:CN:N","E1:CN:N:1",23,"2017-06-28",1,0,1
"E1","E1:CN","E1:CN:N","E1:CN:N:1",27,"2017-06-28",0,0,0
"E1","E1:CN","E1:CN:N","E1:CN:N:2",3,"2017-06-28",0,0,0
"E1","E1:CN","E1:CN:N","E1:CN:N:2",7,"2017-06-28",0,1,0
"E1","E1:CN","E1:CN:N","E1:CN:N:2",13,"2017-06-28",0.5,2.5,0.5
"E1","E1:CN","E1:CN:N","E1:CN:N:2",17,"2017-06-28",1,0,4
"E1","E1:CN","E1:CN:N","E1:CN:N:2",23,"2017-06-28",1,1,1
"E1","E1:CN","E1:CN:N","E1:CN:N:2",27,"2017-06-28",2,0,2
"E1","E1:CN","E1:CN:N","E1:CN:N:3",3,"2017-06-28",1,0.5,1
"E1","E1:CN","E1:CN:N","E1:CN:N:3",7,"2017-06-28",2,1,2
"E1","E1:CN","E1:CN:N","E1:CN:N:3",13,"2017-06-28",1.5,0.5,1.5
"E1","E1:CN","E1:CN:N","E1:CN:N:3",17,"2017-06-28",1.5,1,1.5
"E1","E1:CN","E1:CN:N","E1:CN:N:3",23,"2017-06-28",2,3,2
"E1","E1:CN","E1:CN:N","E1:CN:N:3",27,"2017-06-28",0.5,0.5,0.5
"E1","E1:CN","E1:CN:S","E1:CN:S:1",3,"2017-06-28",0.5,0,5
"E1","E1:CN","E1:CN:S","E1:CN:S:1",7,"2017-06-28",0.5,0,3
"E1","E1:CN","E1:CN:S","E1:CN:S:1",13,"2017-06-28",1,0,5
"E1","E1:CN","E1:CN:S","E1:CN:S:1",17,"2017-06-28",2,0,7
"E1","E1:CN","E1:CN:S","E1:CN:S:1",23,"2017-06-28",1,0,5
"E1","E1:CN","E1:CN:S","E1:CN:S:1",27,"2017-06-28",1,0,5
"E1","E1:CN","E1:CN:S","E1:CN:S:2",3,"2017-06-28",2,0,5.5
"E1","E1:CN","E1:CN:S","E1:CN:S:2",7,"2017-06-28",4,1,9.5
"E1","E1:CN","E1:CN:S","E1:CN:S:2",13,"2017-06-28",2.5,2,4
"E1","E1:CN","E1:CN:S","E1:CN:S:2",17,"2017-06-28",3,0.5,3
"E1","E1:CN","E1:CN:S","E1:CN:S:2",23,"2017-06-28",3,0.5,15
"E1","E1:CN","E1:CN:S","E1:CN:S:2",27,"2017-06-28",7.5,0,14
"E1","E1:CN","E1:CN:S","E1:CN:S:3",3,"2017-06-28",1,0,4
"E1","E1:CN","E1:CN:S","E1:CN:S:3",7,"2017-06-28",1,0,6
