"","block","plot","transect","subtransect","subsubtransect","time","date","slope_percent","litter_cm","duff_cm","fuel_cm","x1h_count","x10h_count","x100h_count","sum_d2_1000r_cm2","sum_d2_1000s_cm2"
"62","E1","E1:CH","E1:CH:M","E1:CH:M:2","E1:CH:M:2:13","pre",2017-06-29,16,3,0.75,3,0,2,0,0,2423
"63","E1","E1:CH","E1:CH:M","E1:CH:M:2","E1:CH:M:2:23","post",2019-07-29,16,1.5,0,1.5,52,11,1,0,100
"64","E1","E1:CH","E1:CH:M","E1:CH:M:2","E1:CH:M:2:23","pre",2017-06-29,16,1,0.75,1.5,0,1,0,0,2423
"65","E1","E1:CH","E1:CH:M","E1:CH:M:2","E1:CH:M:2:3","post",2019-07-29,16,1.5,0,1.5,38,5,2,0,100
"66","E1","E1:CH","E1:CH:M","E1:CH:M:2","E1:CH:M:2:3","pre",2017-06-29,16,2,0,3.5,0,2,0,0,2423
"67","E1","E1:CH","E1:CH:M","E1:CH:M:3","E1:CH:M:3:13","post",2019-07-29,29,0,0,0,10,4,2,625,268.96
"68","E1","E1:CH","E1:CH:M","E1:CH:M:3","E1:CH:M:3:13","pre",2017-06-29,29,0.5,0,4.5,2,5,4,0,5343
"69","E1","E1:CH","E1:CH:M","E1:CH:M:3","E1:CH:M:3:23","post",2019-07-29,29,3,0,18.5,74,7,0,625,268.96
"70","E1","E1:CH","E1:CH:M","E1:CH:M:3","E1:CH:M:3:23","pre",2017-06-29,29,0.5,0,0.5,1,1,0,0,5343
"71","E1","E1:CH","E1:CH:M","E1:CH:M:3","E1:CH:M:3:3","post",2019-07-29,29,0,0,4,9,0,0,625,268.96
"72","E1","E1:CH","E1:CH:M","E1:CH:M:3","E1:CH:M:3:3","pre",2017-06-29,29,1.5,0,2.5,0,3,0,0,5343
"73","E1","E1:CH","E1:CH:N","E1:CH:N:1","E1:CH:N:1:13","post",2019-07-29,29,1.5,0,1.5,4,1,0,0,0
"74","E1","E1:CH","E1:CH:N","E1:CH:N:1","E1:CH:N:1:13","pre",2017-06-29,29,1.5,1,1.5,0,5,0,0,4164
"75","E1","E1:CH","E1:CH:N","E1:CH:N:1","E1:CH:N:1:23","post",2019-07-29,29,1.5,0,1.5,14,4,1,0,0
"76","E1","E1:CH","E1:CH:N","E1:CH:N:1","E1:CH:N:1:23","pre",2017-06-29,29,1,2,1,1,10,4,0,4164
"77","E1","E1:CH","E1:CH:N","E1:CH:N:1","E1:CH:N:1:3","post",2019-07-29,29,1.5,0,14,32,5,3,0,0
"78","E1","E1:CH","E1:CH:N","E1:CH:N:1","E1:CH:N:1:3","pre",2017-06-29,29,2,0,2,1,0,1,0,4164
"79","E1","E1:CH","E1:CH:N","E1:CH:N:2","E1:CH:N:2:13","post",2019-07-29,23,0.5,0,0.5,11,3,0,0,625
"80","E1","E1:CH","E1:CH:N","E1:CH:N:2","E1:CH:N:2:13","pre",2017-06-29,23,0.25,0,4,0,3,0,361,1298
"81","E1","E1:CH","E1:CH:N","E1:CH:N:2","E1:CH:N:2:23","post",2019-07-29,23,2,0,2,6,2,1,0,625
"82","E1","E1:CH","E1:CH:N","E1:CH:N:2","E1:CH:N:2:23","pre",2017-06-29,23,0.5,0,4,6,3,1,361,1298
"83","E1","E1:CH","E1:CH:N","E1:CH:N:2","E1:CH:N:2:3","post",2019-07-29,23,0.5,0,0.5,7,2,1,0,625
"84","E1","E1:CH","E1:CH:N","E1:CH:N:2","E1:CH:N:2:3","pre",2017-06-29,23,1,0,8.5,0,1,0,361,1298
"85","E1","E1:CH","E1:CH:N","E1:CH:N:3","E1:CH:N:3:13","post",2019-07-29,30,1,0,1,7,2,1,522,450
"86","E1","E1:CH","E1:CH:N","E1:CH:N:3","E1:CH:N:3:13","pre",2017-06-29,30,1.25,0,1.25,0,3,3,0,3087
"87","E1","E1:CH","E1:CH:N","E1:CH:N:3","E1:CH:N:3:23","post",2019-07-29,30,0,0,0,20,9,4,522,450
"88","E1","E1:CH","E1:CH:N","E1:CH:N:3","E1:CH:N:3:23","pre",2017-06-29,30,1.25,0,1.25,0,2,2,0,3087
"89","E1","E1:CH","E1:CH:N","E1:CH:N:3","E1:CH:N:3:3","post",2019-07-29,30,0,0,0,67,4,2,522,450
"90","E1","E1:CH","E1:CH:N","E1:CH:N:3","E1:CH:N:3:3","pre",2017-06-29,30,4,0,4,2,6,3,0,3087
"91","E1","E1:CH","E1:CH:S","E1:CH:S:1","E1:CH:S:1:13","post",2019-07-30,20,1.5,0,1.5,28,11,2,0,3833
"92","E1","E1:CH","E1:CH:S","E1:CH:S:1","E1:CH:S:1:13","pre",2017-06-29,20,0.75,0,0.75,2,6,0,2653,5011
"93","E1","E1:CH","E1:CH:S","E1:CH:S:1","E1:CH:S:1:23","post",2019-07-30,20,2,0.5,3.5,33,2,2,0,3833
"94","E1","E1:CH","E1:CH:S","E1:CH:S:1","E1:CH:S:1:23","pre",2017-06-29,20,1.5,0,1.5,1,3,3,2653,5011
"95","E1","E1:CH","E1:CH:S","E1:CH:S:1","E1:CH:S:1:3","post",2019-07-30,20,1,0,1,8,8,1,0,3833
"96","E1","E1:CH","E1:CH:S","E1:CH:S:1","E1:CH:S:1:3","pre",2017-06-29,20,2,0,4,2,6,7,2653,5011
"97","E1","E1:CH","E1:CH:S","E1:CH:S:2","E1:CH:S:2:13","post",2019-07-30,13,1,0,1.5,3,5,2,0,1164
"98","E1","E1:CH","E1:CH:S","E1:CH:S:2","E1:CH:S:2:13","pre",2017-06-29,13,1.5,0.25,2.5,7,10,0,0,1795
"99","E1","E1:CH","E1:CH:S","E1:CH:S:2","E1:CH:S:2:23","post",2019-07-30,13,1.5,0,3.5,13,7,1,0,1164
"100","E1","E1:CH","E1:CH:S","E1:CH:S:2","E1:CH:S:2:23","pre",2017-06-29,13,1,0,2,2,8,7,0,1795
"101","E1","E1:CH","E1:CH:S","E1:CH:S:2","E1:CH:S:2:3","post",2019-07-30,13,0,0,1.5,13,2,6,0,1164
"102","E1","E1:CH","E1:CH:S","E1:CH:S:2","E1:CH:S:2:3","pre",2017-06-29,13,1,0,1,2,2,1,0,1795
"103","E1","E1:CH","E1:CH:S","E1:CH:S:3","E1:CH:S:3:13","post",2019-07-30,25,1,0,11.5,6,0,4,0,2310
"104","E1","E1:CH","E1:CH:S","E1:CH:S:3","E1:CH:S:3:13","pre",2017-06-29,25,1.25,0.5,1.25,3,3,13,2146,1706
"105","E1","E1:CH","E1:CH:S","E1:CH:S:3","E1:CH:S:3:23","post",2019-07-30,25,0.5,0,2.5,13,2,3,0,2310
"106","E1","E1:CH","E1:CH:S","E1:CH:S:3","E1:CH:S:3:23","pre",2017-06-29,25,0.75,0,0.75,0,2,0,2146,1706
"107","E1","E1:CH","E1:CH:S","E1:CH:S:3","E1:CH:S:3:3","post",2019-07-30,25,0,0,0,6,2,4,0,2310
"108","E1","E1:CH","E1:CH:S","E1:CH:S:3","E1:CH:S:3:3","pre",2017-06-29,25,1.25,0,1.25,0,3,4,2146,1706
"109","E1","E1:CN","E1:CN:M","E1:CN:M:1","E1:CN:M:1:13","post",2019-07-30,0,0,0,0,8,2,1,0,1946
"110","E1","E1:CN","E1:CN:M","E1:CN:M:1","E1:CN:M:1:13","pre",2017-06-28,0,1,0.5,1,2,4,1,0,2394
"111","E1","E1:CN","E1:CN:M","E1:CN:M:1","E1:CN:M:1:23","post",2019-07-30,0,1.5,0,1.5,5,1,0,0,1946
"112","E1","E1:CN","E1:CN:M","E1:CN:M:1","E1:CN:M:1:23","pre",2017-06-28,0,2.5,0.5,2.5,0,0,4,0,2394
"113","E1","E1:CN","E1:CN:M","E1:CN:M:1","E1:CN:M:1:3","post",2019-07-30,0,0.5,0,0.5,47,8,2,0,1946
"114","E1","E1:CN","E1:CN:M","E1:CN:M:1","E1:CN:M:1:3","pre",2017-06-28,0,1,0,1,4,10,2,0,2394
"115","E1","E1:CN","E1:CN:M","E1:CN:M:2","E1:CN:M:2:13","post",2019-07-30,10,0,0,0,5,4,4,0,1156
